,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
6,7,8,18,ヒカルカザブエ,牡4,58,秋山真一,3:15.2,1/2,**,15-15-14-9,35.2,18.1,7,472(0),,,,[西] 岡田稲男,高橋京子,
7,8,4,7,ポップロック,牡8,58,川田将雅,3:15.2,クビ,**,12-12-8-7,35.4,89.4,16,502(+4),,,,[西] 角居勝彦,吉田勝己,
8,9,8,17,アサクサキングス,牡5,58,四位洋文,3:15.3,3/4,**,6-6-3-2,35.8,3.5,1,502(-6),,,,[西] 大久保龍,田原慶子,
9,10,7,13,デルタブルース,牡8,58,岩田康誠,3:16.2,5,**,10-10-8-11,36.2,47.6,13,516(-8),,,,[西] 角居勝彦,サンデーレーシング,
10,11,5,10,ゼンノグッドウッド,牡6,58,武幸四郎,3:16.4,1.1/4,**,18-18-18-15,36.0,31.1,9,508(-4),,,,[西] 浅見秀一,大迫久美子,
11,12,7,15,モンテクリスエス,牡4,58,武豊,3:16.7,1.3/4,**,16-15-14-11,36.7,7.4,3,536(+2),,,,[西] 松田国英,毛利喜昭,
12,13,6,11,ネヴァブション,牡6,58,後藤浩輝,3:16.7,クビ,**,5-5-4-4,37.1,46.1,11,474(-12),,,,[東] 伊藤正徳,ティーエイチ,
13,14,8,16,スクリーンヒーロー,牡5,58,横山典弘,3:17.1,2.1/2,**,6-6-2-2,37.7,6.3,2,486(-2),,,,[東] 鹿戸雄一,吉田照哉,
14,15,5,9,ホクトスルタン,牡5,58,小牧太,3:17.3,1,**,2-2-1-1,38.0,24.7,8,510(+6),,,,[西] 庄野靖志,布施壽賀子,
15,16,7,14,コスモバルク,牡8,58,幸英明,3:17.9,3.1/2,**,4-4-11-15,37.6,141.1,17,504(-10),,,,[地] 田部和則,ビッグレッドファーム,
16,17,3,5,シルクフェイマス,牡10,58,藤岡佑介,3:18.8,5,**,1-1-8-13,38.7,177.6,18,480(+2),,,,[西] 鮫島一歩,シルク,
17,18,3,6,テイエムプリキュア,牝6,56,荻野琢真,3:20.6,大,**,3-2-4-18,40.3,60.3,14,504(+8),,,,[西] 五十嵐忠,竹園正繼,
0,1,6,12,ジャガーメイル,牡6,58,ウィリア,3:15.7,,**,9-8-7-5,33.7,5.9,2,472(-8),,,,[東] 堀宣行,吉田和美,13594.8
