,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
4,5,7,13,コイントス,牡7,57,北村宏司,2:32.5,1/2,**,10-10-11-13,34.9,207.3,16.0,550(+6),,,,[東] 藤沢和雄,臼田浩義,1800.0
5,6,4,7,ヘヴンリーロマンス,牝5,55,松永幹夫,2:32.5,クビ,**,11-12-11-11,34.9,56.5,8.0,508(0),,,,[西] 山本正司,ノースヒルズマネジメント,
6,7,1,2,サンライズペガサス,牡7,57,田中勝春,2:32.7,1.1/4,**,11-12-11-8,35.1,81.2,9.0,492(+8),,,,[西] 石坂正,松岡隆雄,
7,8,2,3,ゼンノロブロイ,牡5,57,デザーモ,2:32.8,クビ,**,8-8-8-8,35.4,6.8,2.0,520(+12),,,,[東] 藤沢和雄,大迫久美子,
8,9,4,8,グラスボンバー,牡5,57,勝浦正樹,2:32.9,1/2,**,15-15-15-13,35.0,96.1,11.0,492(+6),,,,[東] 尾形充弘,半沢,
9,10,3,5,スズカマンボ,牡4,57,安藤勝己,2:32.9,クビ,**,15-15-15-15,34.9,52.6,7.0,498(+10),,,,[西] 橋田満,永井啓弍,
10,11,8,15,デルタブルース,牡4,57,ペリエ,2:33.0,3/4,**,8-8-8-11,35.6,11.5,3.0,530(+2),,,,[西] 角居勝彦,サンデーレーシング,
11,12,5,9,タップダンスシチー,牡8,57,佐藤哲三,2:33.3,1.3/4,**,1-1-1-2,36.9,19.7,5.0,512(+2),,,,[西] 佐々木晶,友駿ホースクラブ,
12,13,6,12,ビッグゴールド,牡7,57,柴田善臣,2:33.6,2,**,14-14-11-16,35.9,188.9,14.0,474(+6),,,,[西] 中尾正,ビッグ,
13,14,6,11,オペラシチー,牡4,57,中舘英二,2:33.7,クビ,**,5-6-6-8,36.6,156.4,13.0,504(-4),,,,[西] 佐々木晶,友駿ホースクラブ,
14,15,8,16,オースミハルカ,牝5,55,川島信二,2:33.8,1/2,**,2-2-2-3,37.1,121.5,12.0,474(-2),,,,[西] 安藤正敏,山路秀則,
15,16,1,1,マイソールサウンド,牡6,57,本田優,2:34.3,3,**,5-4-4-6,37.4,194.4,15.0,474(+4),,,,[西] 西浦勝一,佐野清,
0,1,3,4,ディープインパクト,牡4,57,武豊,2:31.9,,**,12-12-11-10,33.8,1.2,1.0,438(+2),,,,[西] 池江泰郎,金子真人ホールディングス,18302.4
1,2,1,1,ポップロック,牡5,57,ペリエ,2:32.4,3,**,4-3-4-4,35.0,31.1,6.0,494(0),,,,[西] 角居勝彦,吉田勝己,7286.4
2,3,4,5,ダイワメジャー,牡5,57,安藤勝己,2:32.5,3/4,**,2-2-2-2,35.3,15.1,3.0,532(+6),,,,[東] 上原博之,大城敬三,4543.2
3,4,3,3,ドリームパスポート,牡3,55,内田博幸,2:32.5,ハナ,**,7-8-7-7,34.9,13.1,2.0,478(+12),,,,[西] 松田博資,ジョイ・レースホース,2700.0
4,5,5,8,メイショウサムソン,牡3,55,石橋守,2:32.7,1.1/4,**,3-3-2-2,35.4,21.4,4.0,518(+4),,,,[西] 瀬戸口勉,松本好雄,1800.0
5,6,2,2,デルタブルース,牡5,57,岩田康誠,2:32.7,クビ,**,4-3-4-4,35.3,39.0,9.0,520(0),,,,[西] 角居勝彦,サンデーレーシング,
6,7,6,9,トウショウナイト,牡5,57,武士沢友,2:32.8,3/4,**,7-7-6-4,35.3,73.9,10.0,496(+14),,,,[東] 保田一隆,藤田衛成,
7,8,7,12,アドマイヤフジ,牡4,57,武幸四郎,2:32.8,クビ,**,10-11-12-12,34.6,131.4,12.0,528(-8),,,,[西] 橋田満,近藤利一,
8,9,6,10,アドマイヤメイン,牡3,55,柴田善臣,2:32.8,ハナ,**,1-1-1-1,36.3,35.4,7.0,496(-7),,,,[西] 橋田満,近藤利一,
