,着順,枠番,馬番,馬名,性齢,斤量,騎手,上り,単勝,人気,馬体重,調教師,馬主,rank_0,rank_1,rank_2,rank_3,second,first_half,weight,diff
177,1,5,9,ドリームジャーニー,牡5,57,池添謙一,35.2,4.0,2.0,426(+4),[西] 池江泰寿,サンデーレーシング,15,15,14,8,150.0,114.8,426,4
178,2,1,2,ブエナビスタ,牝3,53,横山典弘,35.8,3.4,1.0,446(-8),[西] 松田博資,サンデーレーシング,6,6,4,3,150.1,114.3,446,-8
179,3,3,6,エアシェイディ,牡8,57,後藤浩輝,35.7,32.0,11.0,494(0),[東] 伊藤正徳,ラッキーフィールド,16,16,15,12,150.8,115.10000000000001,494,0
180,4,8,16,フォゲッタブル,牡3,55,ルメール,36.1,9.6,4.0,484(-2),[西] 池江泰郎,金子真人ホールディングス,13,13,10,5,150.8,114.70000000000002,484,-2
181,5,2,4,マイネルキッツ,牡6,57,三浦皇成,36.7,33.2,12.0,504(+6),[東] 国枝栄,サラブレッドクラブ・ラフィアン,10,10,6,5,151.2,114.49999999999999,504,6
182,6,7,14,セイウンワンダー,牡3,55,藤田伸二,36.9,21.0,10.0,518(+4),[西] 領家政蔵,大谷高雄,13,13,10,5,151.6,114.69999999999999,518,4
183,7,4,7,マツリダゴッホ,牡6,57,蛯名正義,37.6,9.4,3.0,502(+12),[東] 国枝栄,高橋文枝,10,10,4,1,151.9,114.30000000000001,502,12
184,8,6,11,イコピコ,牡3,55,内田博幸,38.2,17.2,9.0,456(-10),[西] 西園正都,錦岡牧場,6,8,6,8,152.6,114.39999999999999,456,-10
185,9,7,13,シャドウゲイト,牡7,57,田中勝春,38.6,123.4,16.0,504(+4),[東] 加藤征弘,飯塚知一,4,4,2,2,152.7,114.1,504,4
186,10,3,5,コスモバルク,牡8,57,五十嵐冬,38.1,89.9,15.0,512(+2),[地] 田部和則,ビッグレッドファーム,10,10,10,12,152.8,114.70000000000002,512,2
187,11,2,3,ミヤビランベリ,牡6,57,吉田隼人,38.7,14.7,7.0,492(-4),[西] 加藤敬二,村上義勝,2,2,2,3,152.8,114.10000000000001,492,-4
188,12,8,15,ネヴァブション,牡6,57,北村宏司,39.3,60.0,13.0,488(-2),[東] 伊藤正徳,ティーエイチ,6,8,9,14,153.9,114.60000000000001,488,-2
189,13,4,8,リーチザクラウン,牡3,55,武豊,40.6,12.6,5.0,508(+2),[西] 橋口弘次,臼田浩義,1,1,1,8,154.6,114.0,508,2
190,14,6,12,テイエムプリキュア,牝6,55,熊沢重文,41.0,65.0,14.0,504(-2),[西] 五十嵐忠,竹園正繼,3,2,10,15,155.7,114.69999999999999,504,-2
191,15,1,1,アンライバルド,牡3,55,Ｍデムー,42.4,14.9,8.0,474(+4),[西] 友道康夫,サンデーレーシング,5,5,6,11,156.8,114.4,474,4
193,1,1,1,ヴィクトワールピサ,牡3,55,Ｍデムー,34.6,8.4,2.0,512(+2),[西] 角居勝彦,市川義美,4,4,2,2,152.6,118.0,512,2
194,2,4,7,ブエナビスタ,牝4,55,スミヨン,33.8,1.7,1.0,464(+2),[西] 松田博資,サンデーレーシング,11,11,9,8,152.6,118.8,464,2
195,3,6,11,トゥザグローリー,牡3,55,ウィリア,34.4,75.9,14.0,524(-4),[西] 池江泰郎,キャロットファーム,3,3,3,2,152.6,118.19999999999999,524,-4
196,4,7,14,ペルーサ,牡3,55,安藤勝己,34.4,8.9,3.0,510(0),[東] 藤沢和雄,山本英俊,5,5,3,4,152.7,118.29999999999998,510,0
197,5,2,4,トーセンジョーダン,牡4,57,三浦皇成,34.9,20.0,7.0,490(+10),[西] 池江泰寿,島川隆哉,1,1,1,1,152.9,118.0,490,10
198,6,3,5,ルーラーシップ,牡3,55,ルメール,34.4,17.6,6.0,492(-4),[西] 角居勝彦,サンデーレーシング,6,5,6,4,153.0,118.6,492,-4
199,7,5,10,エイシンフラッシュ,牡3,55,内田博幸,34.2,12.6,5.0,488(0),[西] 藤原英昭,平井豊光,9,9,9,10,153.0,118.8,488,0
200,8,1,2,ネヴァブション,牡7,57,後藤浩輝,34.8,59.9,12.0,494(+2),[東] 伊藤正徳,廣崎利洋,8,7,6,4,153.4,118.60000000000001,494,2
201,9,5,9,ダノンシャンティ,牡3,55,ベリー,34.3,39.5,10.0,482(+14),[西] 松田国英,ダノックス,13,13,14,13,153.6,119.3,482,14
202,10,2,3,フォゲッタブル,牡4,57,岩田康誠,35.0,62.3,13.0,484(-4),[西] 池江泰郎,金子真人ホールディングス,6,7,6,8,153.6,118.6,484,-4
203,11,7,13,オウケンブルースリ,牡5,57,横山典弘,35.4,24.9,8.0,492(0),[西] 音無秀孝,福井明,2,2,3,4,153.7,118.29999999999998,492,0
204,12,4,8,メイショウベルーガ,牝5,55,蛯名正義,35.0,38.4,9.0,508(+10),[西] 池添兼雄,松本好雄,11,11,9,10,153.8,118.80000000000001,508,10
205,13,6,12,ドリームジャーニー,牡6,57,池添謙一,34.7,12.1,4.0,434(+12),[西] 池江泰寿,サンデーレーシング,13,13,13,13,153.8,119.10000000000001,434,12
206,14,8,15,レッドディザイア,牝4,55,四位洋文,34.2,47.2,11.0,478(0),[西] 松永幹夫,東京ホースレーシング,15,15,15,15,154.0,119.8,478,0
