,着順,枠番,馬番,馬名,性齢,斤量,騎手,上り,単勝,人気,調教師,馬主,rank_0,rank_1,second,first_half,weight,diff
107,8,4,5,ニホンピロハーレー,牡7,54.0,和田竜二,34.3,10.2,5.0,[西] 田所秀孝,小林百太郎,10,7,69.4,35.10000000000001,508,4
108,9,4,6,マヤノトライミー,牡7,50.0,安部幸夫,33.8,174.3,13.0,[西] 坂口正大,田所祐,14,13,69.4,35.60000000000001,460,0
109,10,8,13,ジョーディシラオキ,牝6,51.0,小坂忠士,34.5,175.9,14.0,[西] 松田国英,大成牧場,6,7,69.5,35.0,464,4
110,11,3,4,キシュウファンタジ,牝6,49.0,黒岩悠,34.5,111.3,12.0,[西] 吉岡八郎,木村善一,9,10,69.6,35.099999999999994,490,0
111,12,2,2,ダンツキャスト,牡6,54.0,小牧太,34.5,29.0,8.0,[西] 谷潔,山元哲二,10,11,69.7,35.2,506,-8
112,13,1,1,ナリタダイドウ,牡6,54.0,池添謙一,34.2,85.8,10.0,[西] 中尾謙太,山路秀則,12,13,69.7,35.5,464,18
113,14,6,9,ナムラマイカ,牝6,52.0,幸英明,35.2,17.9,7.0,[西] 福島信晴,奈村信重,3,3,69.8,34.599999999999994,452,-2
114,1,6,11,キーンランドスワン,牡5,56.0,スボリッ,33.8,3.4,1.0,[西] 森秀行,平井豊光,5,4,68.6,34.8,488,-2
115,2,4,8,サーガノヴェル,牝5,54.0,岩田康誠,33.7,19.4,9.0,[東] 古賀史生,前田幸治,7,7,68.7,35.0,486,-2
116,3,3,5,サニングデール,牡5,57.5,福永祐一,33.4,11.3,6.0,[西] 瀬戸口勉,後藤繁樹,9,9,68.7,35.300000000000004,452,2
117,4,8,15,トーセンオリオン,牡4,54.0,安藤光彰,34.3,10.9,5.0,[東] 萩原清,島川隆哉,2,2,68.8,34.5,468,2
118,5,8,16,サダムブルースカイ,牡5,55.0,角田晃一,34.2,21.8,10.0,[西] 中村均,大西定,2,4,68.8,34.599999999999994,536,6
119,6,5,9,ゴールデンロドリゴ,牡7,56.0,四位洋文,33.3,17.3,8.0,[西] 飯田雄三,山住れい子,11,11,68.9,35.60000000000001,506,0
120,7,2,3,ドローアウター,牡4,54.0,松永幹夫,34.6,6.0,3.0,[西] 山本正司,前田幸治,1,1,69.0,34.4,536,6
121,8,7,14,ナムラマイカ,牝7,52.0,古川吉洋,34.2,43.8,11.0,[西] 福島信晴,奈村信重,5,6,69.0,34.8,468,6
122,9,1,2,ワンダフルデイズ,牡4,55.0,川原正一,33.2,5.8,2.0,[西] 武田博,前田幸治,14,13,69.1,35.89999999999999,502,4
123,10,5,10,モンパルナス,牝4,53.0,佐藤哲三,34.6,12.1,7.0,[西] 坪憲章,角田哲男,2,2,69.1,34.49999999999999,436,-4
124,11,1,1,フィールドスパート,牡6,53.0,小林徹弥,34.3,129.5,13.0,[西] 山内研二,地田勝三,7,7,69.3,35.0,548,-2
125,12,4,7,ゴールデンキャスト,牡4,54.0,幸英明,33.4,6.6,4.0,[西] 橋口弘次,前田幸治,14,11,69.3,35.9,480,6
126,13,6,12,リキアイタイカン,牡6,56.5,竹之下智,33.6,46.5,12.0,[西] 松田正弘,高山幸雄,12,13,69.4,35.800000000000004,500,0
127,14,2,4,ニホンピロハーレー,牡8,53.0,渡辺薫彦,33.5,278.0,16.0,[西] 服部利之,小林百太郎,16,15,69.6,36.099999999999994,500,8
128,15,7,13,ナリタダイドウ,牡7,52.0,常石勝義,34.2,148.7,14.0,[西] 中尾謙太,山路秀則,9,9,69.6,35.39999999999999,466,2
129,16,3,6,トウショウリープ,牡7,53.0,小池隆生,33.9,182.5,15.0,[東] 大久保洋,トウショウ産業,13,15,69.8,35.9,494,0
130,1,4,8,プレシャスカフェ,牡6,58.0,蛯名正義,33.7,1.9,1.0,[東] 小島太,西川清,6,5,68.1,34.39999999999999,498,2
131,2,6,12,ギャラントアロー,牡5,58.0,幸英明,34.0,17.3,6.0,[西] 崎山博樹,冨沢敦子,3,3,68.2,34.2,500,2
132,3,3,6,トップパシコ,牡5,53.0,高山太郎,34.3,27.4,10.0,[東] 佐藤全弘,酒井芳秀,1,1,68.2,33.900000000000006,512,0
133,4,5,10,リミットレスビッド,牡6,56.0,武幸四郎,34.3,4.5,2.0,[西] 加用正,社台レースホース,2,2,68.4,34.10000000000001,506,4
134,5,1,2,ドリームカムカム,牝7,54.0,大西直宏,34.2,25.2,8.0,[東] 国枝栄,飯田正剛,3,3,68.4,34.2,470,-4
135,6,7,14,ゴールデンキャスト,牡5,57.0,小牧太,34.2,16.4,5.0,[西] 橋口弘次,前田幸治,6,5,68.6,34.39999999999999,496,4
136,7,4,7,キングオブサンデー,牡9,53.0,藤岡佑介,33.7,387.1,16.0,[西] 森秀行,鈴木義孝,13,11,68.6,34.89999999999999,496,20
137,8,6,11,コンコルディア,牝4,53.0,松永幹夫,34.2,14.5,4.0,[西] 安田隆行,サンデーレーシング,10,11,68.8,34.599999999999994,486,-2
138,9,3,5,ゲイリーファントム,牡6,52.0,川島信二,34.2,286.1,15.0,[西] 鶴留明雄,東京サラブレッドビューロー,10,9,68.8,34.599999999999994,544,0
139,10,8,16,マルターズヒート,牝4,52.0,川原正一,34.3,54.6,12.0,[西] 坂口正則,藤田与志男,6,5,68.8,34.5,484,0
140,11,1,1,ナイキアヘッド,牡6,55.0,安藤勝己,34.7,12.3,3.0,[東] 古賀史生,小野誠治,3,8,68.9,34.2,494,-6
141,12,7,13,サダムブルースカイ,牡6,54.0,長谷川浩,34.2,114.3,13.0,[西] 中村均,大西定,13,14,69.0,34.8,528,10
142,13,2,4,マルターズホーク,牡8,52.0,小林徹弥,33.9,261.3,14.0,[東] 手塚貴久,藤田与志男,16,16,69.0,35.1,500,2
143,14,5,9,ゴールデンロドリゴ,牡8,56.0,赤木高太,34.3,40.8,11.0,[西] 飯田雄三,山住れい子,13,14,69.1,34.8,510,4
144,15,2,3,キーンランドスワン,牡6,57.0,藤田伸二,34.8,23.5,7.0,[西] 森秀行,平井豊光,6,11,69.3,34.5,490,6
145,16,8,15,シルヴァーゼット,牡4,54.0,池添謙一,34.6,25.9,9.0,[西] 田所清広,林儀信,10,9,69.3,34.699999999999996,522,6
146,1,6,11,タマモホットプレイ,牡5,56.0,渡辺薫彦,34.1,9.0,4.0,[西] 南井克巳,タマモ,5,6,68.9,34.800000000000004,474,-2
147,2,6,12,マイネルアルビオン,牡4,54.0,武幸四郎,34.1,10.0,7.0,[東] 畠山吉宏,サラブレッドクラブ・ラフィアン,5,6,68.9,34.800000000000004,540,-6
148,3,7,14,アイルラヴァゲイン,牡4,55.0,安藤勝己,34.5,3.2,1.0,[東] 手塚貴久,齊藤四方司,3,3,69.0,34.5,508,4
149,4,2,3,コパノフウジン,牡4,55.0,佐藤哲三,34.5,7.6,2.0,[西] 宮徹,小林祥晃,3,3,69.0,34.5,474,2
150,5,8,16,タイキジリオン,牡6,55.0,ペリエ,34.3,18.2,10.0,[西] 安田隆行,大樹ファーム,5,6,69.0,34.7,484,-10
151,6,3,5,ディープサマー,牡4,55.0,岩田康誠,34.6,13.1,8.0,[西] 山内研二,深見敏男,2,2,69.0,34.4,488,-2
152,7,5,10,ナイキアヘッド,牡7,54.0,秋山真一,34.2,127.0,14.0,[東] 古賀史生,小野誠治,10,10,69.2,35.0,498,-4
153,8,8,15,エイシンヘーベ,牝5,53.0,小牧太,34.3,17.3,9.0,[西] 藤岡健一,平井豊光,10,10,69.2,34.900000000000006,446,-4
154,9,5,9,カネツテンビー,牝7,53.0,津村明秀,34.1,9.4,6.0,[東] 武藤善則,カネツ牧場,14,14,69.2,35.1,494,0
155,10,7,13,ロイヤルキャンサー,牡8,53.0,川島信二,34.2,203.5,15.0,[西] 森秀行,井澤健,14,14,69.3,35.099999999999994,468,6
156,11,3,6,キーンランドスワン,牡7,57.5,四位洋文,34.7,9.1,5.0,[西] 森秀行,平井豊光,5,5,69.4,34.7,488,0
157,12,2,4,ギャラントアロー,牡6,58.0,幸英明,35.1,8.5,3.0,[西] 崎山博樹,冨沢敦子,1,1,69.5,34.4,512,8
158,13,4,7,ブルーショットガン,牡7,54.0,松永幹夫,34.6,23.8,11.0,[西] 武宏平,荻伏レーシング・クラブ,10,10,69.5,34.9,452,0
159,14,4,8,アグネスウイング,牡6,56.0,熊沢重文,34.8,94.5,13.0,[西] 白井寿昭,渡辺孝男,10,10,69.8,35.0,478,4
160,15,1,1,ナゾ,牝8,51.0,安部幸夫,35.3,65.7,12.0,[西] 佐々木晶,小田切有一,5,6,70.0,34.7,438,0
161,16,1,2,ゲイリーファントム,牡7,51.0,佐久間寛,34.9,245.9,16.0,[西] 鶴留明雄,東京サラブレッドビューロー,14,14,70.2,35.300000000000004,554,-4
162,1,6,12,エムオーウイナー,牡6,55.0,小牧太,34.0,11.4,7.0,[西] 服部利之,大浅貢,4,3,67.8,33.8,522,6
163,2,2,4,タマモホットプレイ,牡6,57.0,渡辺薫彦,33.7,7.2,3.0,[西] 南井克巳,タマモ,9,8,68.0,34.3,478,2
164,3,8,15,ビーナスライン,牝6,54.0,秋山真一,33.9,7.5,4.0,[東] 堀宣行,ターフ・スポート,7,8,68.0,34.1,466,8
165,4,5,9,アンバージャック,牡4,57.0,松岡正海,34.0,3.7,1.0,[東] 中野隆良,日進牧場,7,4,68.1,34.099999999999994,516,-2
166,5,1,2,サチノスイーティー,牝4,52.0,吉田隼人,34.1,10.7,6.0,[東] 平井雄二,佐藤幸彦,4,7,68.1,33.99999999999999,444,-8
167,6,7,14,コスモシンドラー,牡5,55.0,武幸四郎,33.7,8.3,5.0,[西] 加用正,ビッグレッドファーム,13,13,68.2,34.5,504,0
168,7,2,3,ディバインシルバー,牡9,55.0,穂苅寿彦,34.7,179.2,16.0,[東] 和田正道,櫻井正,1,1,68.2,33.5,494,9
