,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
2,3,2,4,フミノムーン,牡6,55.0,国分優作,1:08.7,クビ,**,15-13,33.4,92.6,15.0,458(+4),,,,[西] 西浦勝一,谷二,989.0
3,4,7,13,カラクレナイ,牝4,54.0,池添謙一,1:08.7,ハナ,**,11-11,33.7,7.5,3.0,498(-2),,,,[西] 松下武士,吉田照哉,590.0
4,5,7,15,ナックビーナス,牝5,54.0,勝浦正樹,1:08.7,クビ,**,3-4,34.3,10.4,6.0,524(+2),,,,[東] 杉浦宏昭,小松欣也,390.0
5,6,2,3,グレイトチャーター,牡6,54.0,和田竜二,1:08.8,1/2,**,7-6,34.2,30.4,12.0,506(0),,,,[西] 鮫島一歩,ノースヒルズ,
6,7,3,6,セカンドテーブル,牡6,56.0,水口優也,1:09.0,3/4,**,9-9,34.2,16.5,7.0,482(-2),,,,[西] 崎山博樹,山上和良,
7,8,5,9,キングハート,牡5,56.0,中谷雄太,1:09.0,ハナ,**,5-4,34.5,26.0,11.0,498(+16),,,,[東] 星野忍,増田陽一,
8,9,6,12,タマモブリリアン,牝5,52.0,古川吉洋,1:09.0,ハナ,**,7-8,34.3,213.2,17.0,476(+6),,,,[西] 南井克巳,タマモ,
9,10,8,17,ロードクエスト,牡5,57.0,三浦皇成,1:09.1,1/2,**,15-13,33.9,20.4,10.0,466(+2),,,,[東] 小島茂之,ロードホースクラブ,
10,11,1,2,アレスバローズ,牡6,54.0,Ｍ．デム,1:09.1,ハナ,**,11-11,34.2,4.9,2.0,504(+14),,,,[西] 角田晃一,猪熊広次,
11,12,6,11,ユキノアイオロス,セ10,53.0,川島信二,1:09.1,ハナ,**,18-17,33.7,328.1,18.0,492(+4),,,,[東] 和田正道,井上基之,
12,13,7,14,ミッキーラブソング,牡7,56.0,松山弘平,1:09.3,1.1/4,**,9-9,34.5,50.8,13.0,466(-2),,,,[西] 橋口慎介,野田みづき,
13,14,3,5,アットザシーサイド,牝5,53.0,四位洋文,1:09.6,1.3/4,**,13-13,34.4,19.4,9.0,446(+4),,,,[西] 浅見秀一,吉田照哉,
14,15,5,10,ニシケンモノノフ,牡7,57.5,横山典弘,1:09.7,3/4,**,15-18,34.3,19.4,8.0,514(+7),,,,[西] 庄野靖志,西森鶴,
15,16,4,8,ダイアナヘイロー,牝5,55.0,武豊,1:09.7,クビ,**,2-2,35.4,3.9,1.0,478(+2),,,,[西] 福島信晴,駒秀,
16,17,8,18,ナリタスターワン,牡6,55.0,幸英明,1:09.8,1/2,**,5-6,35.3,193.8,16.0,476(0),,,,[西] 高橋亮,オースミ,
17,18,8,16,ラインミーティア,牡8,57.0,西田雄一,1:09.8,クビ,**,13-13,34.6,91.6,14.0,484(+8),,,,[東] 水野貴広,大澤繁昌,
